"X(um)","Z(um)"
"0.000 ","-13.912 "
"23.615 ","-8.895 "
"47.231 ","-5.506 "
"70.846 ","-4.501 "
"94.461 ","-5.967 "
"118.077 ","-8.889 "
"141.692 ","-13.034 "
"165.307 ","-18.088 "
"188.923 ","-23.129 "
"212.538 ","-27.937 "
"236.153 ","-32.152 "
"259.769 ","-35.536 "
"283.384 ","-37.958 "
"306.999 ","-39.044 "
"330.615 ","-38.356 "
"354.230 ","-35.006 "
"377.845 ","-27.947 "
"401.461 ","-17.766 "
"425.076 ","-5.578 "
"448.691 ","8.032 "
"472.307 ","22.072 "
"495.922 ","34.400 "
"519.537 ","43.756 "
"543.153 ","49.275 "
"566.768 ","51.256 "
"590.383 ","49.657 "
"613.999 ","44.972 "
"637.614 ","38.120 "
"661.229 ","30.261 "
"684.845 ","21.959 "
"708.460 ","14.300 "
"732.075 ","8.329 "
"755.691 ","3.960 "
"779.306 ","-0.193 "
"802.921 ","-4.508 "
"826.537 ","-8.760 "
"850.152 ","-12.837 "
"873.767 ","-16.999 "
"897.383 ","-20.964 "
"920.998 ","-24.434 "
"944.613 ","-26.971 "
"968.229 ","-28.590 "
"991.844 ","-29.653 "
"1015.459 ","-30.252 "
"1039.075 ","-30.440 "
"1062.690 ","-30.150 "
"1086.305 ","-28.433 "
"1109.921 ","-24.393 "
"1133.536 ","-21.265 "
"1157.151 ","-14.158 "
"1180.767 ","-5.258 "
"1204.382 ","3.508 "
"1227.997 ","10.023 "
"1251.613 ","12.934 "
"1275.228 ","12.360 "
"1298.843 ","8.572 "
"1322.459 ","3.230 "
"1346.074 ","-1.486 "
"1369.689 ","-4.415 "
"1393.305 ","-5.943 "
"1416.920 ","-5.612 "
"1440.535 ","-5.554 "
"1464.151 ","-6.287 "
"1487.766 ","-7.791 "
"1511.381 ","-10.022 "
"1534.997 ","-12.444 "
"1558.612 ","-14.450 "
"1582.227 ","-14.985 "
"1605.843 ","-13.467 "
"1629.458 ","-10.019 "
"1653.073 ","-5.145 "
"1676.689 ","0.750 "
"1700.304 ","7.323 "
"1723.919 ","14.107 "
"1747.535 ","20.570 "
"1771.150 ","25.733 "
"1794.765 ","29.704 "
"1818.381 ","32.347 "
"1841.996 ","33.014 "
"1865.611 ","31.621 "
"1889.227 ","28.374 "
"1912.842 ","23.784 "
"1936.457 ","18.969 "
"1960.073 ","14.036 "
"1983.688 ","8.965 "
"2007.303 ","4.141 "
"2030.919 ","-0.634 "
"2054.534 ","-5.269 "
"2078.149 ","-9.848 "
"2101.765 ","-14.221 "
"2125.380 ","-18.027 "
"2148.995 ","-20.953 "
"2172.611 ","-23.345 "
"2196.226 ","-24.998 "
"2219.842 ","-25.845 "
"2243.457 ","-25.579 "
"2267.072 ","-23.401 "
"2290.688 ","-18.476 "
"2314.303 ","-12.165 "
"2337.918 ","-4.823 "
"2361.534 ","1.393 "
"2385.149 ","3.829 "
"2408.764 ","4.418 "
"2432.380 ","7.479 "
"2455.995 ","7.589 "
"2479.610 ","4.218 "
"2503.226 ","0.898 "
"2526.841 ","-1.803 "
"2550.456 ","-3.834 "
"2574.072 ","-5.958 "
"2597.687 ","-8.494 "
"2621.302 ","-11.490 "
"2644.918 ","-14.900 "
"2668.533 ","-18.513 "
"2692.148 ","-21.796 "
"2715.764 ","-24.372 "
"2739.379 ","-25.690 "
"2762.994 ","-25.206 "
"2786.610 ","-21.808 "
"2810.225 ","-14.651 "
"2833.840 ","-3.637 "
"2857.456 ","10.537 "
"2881.071 ","26.205 "
"2904.686 ","41.121 "
"2928.302 ","53.417 "
"2951.917 ","61.562 "
"2975.532 ","64.916 "
"2999.148 ","63.542 "
"3022.763 ","58.553 "
"3046.378 ","51.403 "
"3069.994 ","43.481 "
"3093.609 ","35.629 "
"3117.224 ","28.397 "
"3140.840 ","22.067 "
"3164.455 ","16.940 "
"3188.070 ","12.779 "
"3211.686 ","8.973 "
"3235.301 ","5.069 "
"3258.916 ","0.984 "
"3282.532 ","-3.096 "
"3306.147 ","-7.006 "
"3329.762 ","-10.659 "
"3353.378 ","-14.068 "
"3376.993 ","-16.836 "
"3400.608 ","-18.904 "
"3424.224 ","-20.494 "
"3447.839 ","-21.663 "
"3471.454 ","-22.421 "
"3495.070 ","-22.572 "
"3518.685 ","-21.826 "
"3542.300 ","-19.208 "
"3565.916 ","-12.854 "
"3589.531 ","-4.224 "
"3613.146 ","6.348 "
"3636.762 ","16.903 "
"3660.377 ","25.647 "
"3683.992 ","31.109 "
"3707.608 ","32.673 "
"3731.223 ","30.345 "
"3754.838 ","25.340 "
"3778.454 ","19.544 "
"3802.069 ","14.280 "
"3825.684 ","10.216 "
"3849.300 ","7.248 "
"3872.915 ","4.761 "
"3896.530 ","2.216 "
"3920.146 ","-0.367 "
"3943.761 ","-2.828 "
"3967.376 ","-5.345 "
"3990.992 ","-7.971 "
"4014.607 ","-10.382 "
"4038.222 ","-11.963 "
"4061.838 ","-11.678 "
"4085.453 ","-7.916 "
"4109.068 ","-0.385 "
"4132.684 ","10.161 "
"4156.299 ","22.665 "
"4179.914 ","35.634 "
"4203.530 ","47.317 "
"4227.145 ","56.026 "
"4250.760 ","60.461 "
"4274.376 ","60.714 "
"4297.991 ","57.626 "
"4321.606 ","51.976 "
"4345.222 ","44.381 "
"4368.837 ","35.590 "
"4392.452 ","26.821 "
"4416.068 ","18.868 "
"4439.683 ","12.192 "
"4463.298 ","6.836 "
"4486.914 ","2.475 "
"4510.529 ","-1.181 "
"4534.144 ","-4.704 "
"4557.760 ","-8.696 "
"4581.375 ","-13.041 "
"4604.990 ","-17.579 "
"4628.606 ","-21.982 "
"4652.221 ","-25.866 "
"4675.836 ","-28.921 "
"4699.452 ","-30.915 "
"4723.067 ","-31.467 "
"4746.682 ","-30.118 "
"4770.298 ","-25.827 "
"4793.913 ","-18.326 "
"4817.528 ","-9.773 "
"4841.144 ","-1.871 "
"4864.759 ","3.904 "
"4888.374 ","6.934 "
"4911.990 ","6.940 "
"4935.605 ","3.798 "
"4959.220 ","-0.785 "
"4982.836 ","-4.743 "
"5006.451 ","-7.520 "
"5030.066 ","-9.375 "
"5053.682 ","-11.120 "
"5077.297 ","-13.392 "
"5100.912 ","-16.157 "
"5124.528 ","-19.401 "
"5148.143 ","-22.956 "
"5171.758 ","-26.199 "
"5195.374 ","-28.774 "
"5218.989 ","-30.447 "
"5242.604 ","-31.037 "
"5266.220 ","-30.215 "
"5289.835 ","-27.034 "
"5313.450 ","-20.571 "
"5337.066 ","-10.609 "
"5360.681 ","2.416 "
"5384.296 ","17.627 "
"5407.912 ","33.436 "
"5431.527 ","47.806 "
"5455.142 ","58.660 "
"5478.758 ","64.384 "
"5502.373 ","64.695 "
"5525.988 ","60.582 "
"5549.604 ","53.592 "
"5573.219 ","45.184 "
"5596.834 ","36.572 "
"5620.450 ","28.434 "
"5644.065 ","21.431 "
"5667.680 ","15.820 "
"5691.296 ","11.054 "
"5714.911 ","6.544 "
"5738.526 ","1.987 "
"5762.142 ","-2.610 "
"5785.757 ","-6.819 "
"5809.372 ","-10.697 "
"5832.988 ","-14.236 "
"5856.603 ","-17.215 "
"5880.218 ","-19.604 "
"5903.834 ","-21.162 "
"5927.449 ","-21.950 "
"5951.064 ","-22.266 "
"5974.680 ","-22.078 "
"5998.295 ","-20.450 "
"6021.910 ","-15.682 "
"6045.526 ","-7.757 "
"6069.141 ","1.841 "
"6092.756 ","11.577 "
"6116.372 ","19.732 "
"6139.987 ","25.105 "
"6163.602 ","26.744 "
"6187.218 ","24.247 "
"6210.833 ","19.247 "
"6234.448 ","13.956 "
"6258.064 ","9.209 "
"6281.679 ","5.285 "
"6305.294 ","2.053 "
"6328.910 ","-0.892 "
"6352.525 ","-3.826 "
"6376.140 ","-6.781 "
"6399.756 ","-9.629 "
"6423.371 ","-12.060 "
"6446.986 ","-13.971 "
"6470.602 ","-15.534 "
"6494.217 ","-16.834 "
"6517.832 ","-17.810 "
"6541.448 ","-18.204 "
"6565.063 ","-17.564 "
"6588.678 ","-14.698 "
"6612.294 ","-8.660 "
"6635.909 ","-0.038 "
"6659.525 ","9.694 "
"6683.140 ","18.752 "
"6706.755 ","25.742 "
"6730.371 ","29.939 "
"6753.986 ","30.424 "
"6777.601 ","27.370 "
"6801.217 ","22.714 "
"6824.832 ","17.834 "
"6848.447 ","13.023 "
"6872.063 ","8.135 "
"6895.678 ","2.911 "
"6919.293 ","-2.462 "
"6942.909 ","-7.689 "
"6966.524 ","-12.726 "
"6990.139 ","-17.362 "
"7013.755 ","-21.105 "
"7037.370 ","-23.849 "
"7060.985 ","-25.270 "
"7084.601 ","-24.547 "
"7108.216 ","-20.969 "
"7131.831 ","-15.035 "
"7155.447 ","-8.053 "
"7179.062 ","-1.037 "
"7202.677 ","4.891 "
"7226.293 ","7.758 "
"7249.908 ","8.321 "
"7273.523 ","6.532 "
"7297.139 ","2.467 "
"7320.754 ","-1.809 "
"7344.369 ","-5.905 "
"7367.985 ","-9.543 "
"7391.600 ","-12.604 "
"7415.215 ","-15.274 "
"7438.831 ","-17.848 "
"7462.446 ","-20.686 "
"7486.061 ","-23.834 "
"7509.677 ","-27.112 "
"7533.292 ","-30.305 "
"7556.907 ","-33.179 "
"7580.523 ","-35.761 "
"7604.138 ","-38.096 "
"7627.753 ","-40.049 "
"7651.369 ","-41.659 "
"7674.984 ","-41.866 "
"7698.599 ","-38.717 "
"7722.215 ","-32.118 "
"7745.830 ","-29.002 "
"7769.445 ","-25.332 "
"7793.061 ","-16.135 "
"7816.676 ","-5.595 "
"7840.291 ","4.748 "
"7863.907 ","8.016 "
"7887.522 ","9.108 "
"7911.137 ","15.344 "
"7934.753 ","23.000 "
"7958.368 ","28.209 "
"7981.983 ","30.407 "
"8005.599 ","29.115 "
"8029.214 ","24.871 "
"8052.829 ","19.319 "
"8076.445 ","13.170 "
"8100.060 ","6.723 "
"8123.675 ","0.439 "
"8147.291 ","-5.270 "
"8170.906 ","-10.041 "
"8194.521 ","-13.933 "
"8218.137 ","-17.221 "
"8241.752 ","-19.803 "
"8265.367 ","-21.752 "
"8288.983 ","-23.357 "
"8312.598 ","-22.941 "
